SUBJECT,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,PZ,T5',T6',O1',O2',"P3""","P4""","PZ""",OZ,I,"CB1""","CB2""",CB1,CB2
CBA,0,-19.9952,-46.3864,-28.3298,81.1222,-67.0026,21.798,32.5385,38.0222,-14.6825,-56.8499,-20.6809,95.4126,22.3575,36.4049,-37.6289,-3.4353,-25.2713,36.0585,26.6667,-29.089,-7.4671,-47.769,-29.1788,-43.959,29.6388,-10.4481,5.7103,-25.6124,37.2684,-22.6576,-2.0059
CBA,1,-19.5624,-42.738,-28.3298,80.7722,-66.5652,21.7112,34.0136,39.3243,-12.7824,-53.8808,-20.2536,95.5854,23.5614,35.0311,-35.9624,-2.2021,-25.8898,37.1854,29.1775,-28.3943,-5.991,-45.1729,-27.5288,-41.7477,31.464,-7.9019,7.6138,-23.6087,40.8917,-21.089,1.0465
CBA,2,-19.1296,-39.6108,-28.1576,80.3346,-66.2153,21.6243,35.4019,40.4528,-11.0551,-50.999,-20.0827,95.3262,24.5933,35.2887,-34.559,-1.2332,-26.3316,38.2255,30.8225,-28.2206,-4.6018,-42.4902,-26.0525,-39.5365,33.1155,-5.6192,9.4307,-21.6922,44.2562,-19.2589,4.3606
CBA,3,-18.9564,-38.5685,-27.7271,79.5471,-65.9529,21.6243,36.3564,41.4077,-9.6732,-48.3792,-20.0827,94.7212,25.5392,36.7483,-33.1556,-0.6166,-26.42,39.179,31.5152,-28.3943,-3.2994,-39.8075,-24.6631,-37.5907,34.5061,-3.8632,11.1611,-19.9498,46.8443,-17.3417,7.5874
CBA,4,-19.1296,-39.8714,-27.3826,78.7595,-65.603,21.6243,37.2241,42.2758,-8.464,-46.196,-20.0827,94.0298,26.3991,39.1524,-31.8399,-0.0881,-26.5967,39.9591,31.1688,-28.3943,-1.997,-37.471,-23.4473,-35.8217,35.6361,-2.634,12.5454,-18.5559,48.6559,-15.2503,10.2037
CBA,5,-19.1296,-42.5643,-27.2104,78.4969,-65.3406,21.4507,38.2653,42.9702,-7.514,-44.5368,-20.0827,93.5977,27.173,41.8999,-30.6996,0.3523,-27.0385,40.4792,30.0433,-27.8733,-0.7814,-35.7402,-22.4052,-34.4065,36.3314,-1.6682,13.5837,-17.2492,49.3461,-12.9845,12.1224
CBA,6,-18.9564,-45.1703,-27.2965,78.4094,-64.9907,21.1901,38.8727,43.4911,-6.9094,-43.1396,-19.9118,93.4248,27.7749,44.5616,-29.7348,0.8808,-27.3036,40.6525,28.1385,-27.0918,0.1737,-34.3556,-21.6236,-33.3451,36.8529,-1.0536,14.4489,-16.2038,49.5186,-10.9802,13.605
CBA,7,-18.8699,-46.4732,-27.3826,78.3219,-64.9033,20.7559,39.0462,44.0119,-6.6503,-41.917,-19.9118,93.6841,28.1189,47.0516,-29.2962,1.6736,-27.3036,40.6525,25.8009,-26.484,0.8683,-33.0576,-21.2762,-32.4606,37.2875,-0.6146,15.2275,-15.3326,49.3461,-9.8473,14.7387
CBA,8,-19.043,-45.8652,-27.5549,78.4094,-64.8158,20.2348,39.133,44.6196,-6.4776,-40.7817,-20.1682,94.2027,28.2049,49.1122,-29.4716,2.8187,-27.3919,40.7392,23.3766,-26.1366,0.9551,-31.673,-21.1025,-31.5762,37.7221,0.1756,15.5736,-15.1584,48.3971,-9.8473,15.0876
CBA,9,-19.043,-43.5198,-27.5549,78.7595,-64.6408,19.6269,39.133,45.1405,-6.6503,-39.5592,-20.51,94.7212,28.2049,50.5718,-30.0856,3.8757,-27.7454,40.8259,21.4719,-26.2235,0.4341,-30.721,-21.2762,-30.8686,37.9828,1.1414,15.0545,-16.0296,46.3266,-11.4159,13.9538
